agegp,yearc,st,N_cases
Age 65+,2006,7C,4
Age 65+,2006,7F,64
Age 65+,2006,8,16
Age 65+,2006,9N,11
Age 65+,2006,9V,20
Age 65+,2006,MISS,145
Age 65+,2006,NT,13
Age <2,2007,1,2
Age <2,2007,10A,9
Age <2,2007,11A,2
Age <2,2007,12F,7
Age <2,2007,13,1
Age <2,2007,14,2
Age <2,2007,15A,4
Age <2,2007,15B,4
Age <2,2007,15C,4
Age <2,2007,16F,4
Age <2,2007,17F,1
Age <2,2007,18C,1
Age <2,2007,19A,121
Age <2,2007,19F,4
Age <2,2007,21,3
Age <2,2007,22F,14
Age <2,2007,23A,3
Age <2,2007,23B,4
Age <2,2007,3,12
Age <2,2007,31,1
Age <2,2007,33F,18
Age <2,2007,35B,4
Age <2,2007,38,9
Age <2,2007,4,1
Age <2,2007,6C,5
Age <2,2007,7C,2
Age <2,2007,7F,39
Age <2,2007,MISS,43
Age <2,2007,NT,4
Age 2-4,2007,1,2
Age 2-4,2007,10A,2
Age 2-4,2007,12F,4
Age 2-4,2007,15A,8
Age 2-4,2007,15B,2
Age 2-4,2007,15C,5
Age 2-4,2007,16F,1
Age 2-4,2007,17F,1
Age 2-4,2007,18C,1
Age 2-4,2007,19A,65
Age 2-4,2007,21,1
Age 2-4,2007,22F,7
Age 2-4,2007,23A,5
Age 2-4,2007,23B,2
Age 2-4,2007,3,9
Age 2-4,2007,33F,3
Age 2-4,2007,35B,1
Age 2-4,2007,38,3
Age 2-4,2007,6A,3
Age 2-4,2007,6C,4
Age 2-4,2007,7C,1
Age 2-4,2007,7F,20
Age 2-4,2007,MISS,18
Age 5-17,2007,1,7
Age 5-17,2007,10A,1
Age 5-17,2007,11A,1
Age 5-17,2007,12F,5
Age 5-17,2007,15A,3
Age 5-17,2007,15B,1
Age 5-17,2007,15C,3
Age 5-17,2007,16F,3
Age 5-17,2007,17F,1
Age 5-17,2007,19A,27
Age 5-17,2007,19F,3
Age 5-17,2007,20,2
Age 5-17,2007,22F,8
Age 5-17,2007,23B,5
Age 5-17,2007,23F,1
Age 5-17,2007,29,1
Age 5-17,2007,3,9
Age 5-17,2007,33F,2
Age 5-17,2007,35B,4
Age 5-17,2007,35F,2
Age 5-17,2007,38,1
Age 5-17,2007,4,1
Age 5-17,2007,6A,2
Age 5-17,2007,6C,6
Age 5-17,2007,7F,25
Age 5-17,2007,8,3
Age 5-17,2007,9V,2
Age 5-17,2007,MISS,14
Age 5-17,2007,NT,1
Age 18-49,2007,1,13
Age 18-49,2007,10A,14
Age 18-49,2007,11A,17
Age 18-49,2007,12F,57
Age 18-49,2007,13,6
Age 18-49,2007,14,5
Age 18-49,2007,15A,20
Age 18-49,2007,15B,12
Age 18-49,2007,15C,10
Age 18-49,2007,16F,18
Age 18-49,2007,17F,17
Age 18-49,2007,18C,8
Age 18-49,2007,19A,147
Age 18-49,2007,19F,8
Age 18-49,2007,20,9
Age 18-49,2007,21,1
Age 18-49,2007,22F,64
Age 18-49,2007,23A,23
Age 18-49,2007,23B,18
Age 18-49,2007,23F,4
Age 18-49,2007,3,64
Age 18-49,2007,31,16
Age 18-49,2007,33F,27
Age 18-49,2007,34,6
Age 18-49,2007,35B,16
Age 18-49,2007,35F,9
Age 18-49,2007,37,2
Age 18-49,2007,38,8
Age 18-49,2007,4,35
Age 18-49,2007,5,2
Age 18-49,2007,6A,18
Age 18-49,2007,6B,3
Age 18-49,2007,6C,25
Age 18-49,2007,7C,5
Age 18-49,2007,7F,144
Age 18-49,2007,8,24
Age 18-49,2007,9A,1
Age 18-49,2007,9N,34
Age 18-49,2007,9V,9
Age 18-49,2007,MISS,128
Age 18-49,2007,NT,5
Age 50-64,2007,1,12
Age 50-64,2007,10A,15
Age 50-64,2007,11A,24
Age 50-64,2007,12F,40
Age 50-64,2007,13,1
Age 50-64,2007,14,8
Age 50-64,2007,15A,33
Age 50-64,2007,15B,10
Age 50-64,2007,15C,4
Age 50-64,2007,16F,32
Age 50-64,2007,17F,14
Age 50-64,2007,18A,1
Age 50-64,2007,18C,4
Age 50-64,2007,19A,141
Age 50-64,2007,19F,11
Age 50-64,2007,20,8
Age 50-64,2007,21,1
Age 50-64,2007,22F,57
Age 50-64,2007,23A,21
Age 50-64,2007,23B,15
Age 50-64,2007,23F,4
Age 50-64,2007,3,72
Age 50-64,2007,31,18
Age 50-64,2007,33A,1
Age 50-64,2007,33F,28
Age 50-64,2007,34,3
Age 50-64,2007,35A,1
Age 50-64,2007,35B,31
Age 50-64,2007,35F,7
Age 50-64,2007,38,16
Age 50-64,2007,4,28
Age 50-64,2007,5,2
Age 50-64,2007,6A,23
Age 50-64,2007,6B,5
Age 50-64,2007,6C,27
Age 50-64,2007,7C,10
Age 50-64,2007,7F,113
Age 50-64,2007,8,26
Age 50-64,2007,9N,33
Age 50-64,2007,9V,12
Age 50-64,2007,MISS,151
Age 50-64,2007,NT,6
Age 65+,2007,1,6
Age 65+,2007,10A,13
Age 65+,2007,11A,45
Age 65+,2007,12F,29
Age 65+,2007,14,15
Age 65+,2007,15A,48
Age 65+,2007,15B,13
Age 65+,2007,15C,5
Age 65+,2007,15F,1
Age 65+,2007,16F,48
Age 65+,2007,17F,10
Age 65+,2007,18C,3
Age 65+,2007,19A,162
Age 65+,2007,19F,11
Age 65+,2007,20,8
Age 65+,2007,22F,95
Age 65+,2007,23A,53
Age 65+,2007,23B,12
Age 65+,2007,23F,7
Age 65+,2007,24A,1
Age 65+,2007,28A,1
Age 65+,2007,29,1
Age 65+,2007,3,118
Age 65+,2007,31,25
Age 65+,2007,33F,34
Age 65+,2007,34,5
Age 65+,2007,35B,32
Age 65+,2007,35F,11
Age 65+,2007,37,1
Age 65+,2007,38,22
Age 65+,2007,4,18
Age 65+,2007,6A,36
Age 65+,2007,6B,15
Age 65+,2007,6C,60
Age 65+,2007,7C,13
Age 65+,2007,7F,91
Age 65+,2007,8,20
Age 65+,2007,9A,1
Age 65+,2007,9N,20
Age 65+,2007,9V,12
Age 65+,2007,MISS,136
Age 65+,2007,NT,7
Age <2,2008,1,1
Age <2,2008,10A,4
Age <2,2008,11A,4
Age <2,2008,12F,4
Age <2,2008,15A,6
Age <2,2008,15B,3
Age <2,2008,15C,9
Age <2,2008,16F,4
Age <2,2008,17F,2
Age <2,2008,18C,2
Age <2,2008,19A,91
Age <2,2008,19F,1
Age <2,2008,20,1
Age <2,2008,21,4
Age <2,2008,22F,18
Age <2,2008,23B,5
Age <2,2008,3,7
Age <2,2008,33F,20
Age <2,2008,34,1
Age <2,2008,35B,11
Age <2,2008,35F,2
Age <2,2008,38,8
Age <2,2008,4,1
Age <2,2008,5,2
Age <2,2008,6A,1
Age <2,2008,6C,4
Age <2,2008,7C,1
Age <2,2008,7F,38
Age <2,2008,8,3
Age <2,2008,9N,2
Age <2,2008,MISS,44
Age <2,2008,NT,2
Age 2-4,2008,1,5
Age 2-4,2008,12F,2
Age 2-4,2008,15A,1
Age 2-4,2008,15B,2
Age 2-4,2008,15C,5
Age 2-4,2008,17F,1
Age 2-4,2008,18C,3
Age 2-4,2008,19A,57
Age 2-4,2008,19F,2
Age 2-4,2008,21,1
Age 2-4,2008,22F,8
Age 2-4,2008,23A,1
Age 2-4,2008,23B,3
Age 2-4,2008,3,3
Age 2-4,2008,33F,4
Age 2-4,2008,35B,1
Age 2-4,2008,38,3
Age 2-4,2008,4,1
Age 2-4,2008,6A,1
Age 2-4,2008,6B,1
Age 2-4,2008,7F,17
Age 2-4,2008,MISS,31
Age 2-4,2008,NT,1
Age 5-17,2008,1,13
Age 5-17,2008,10A,4
Age 5-17,2008,12F,1
Age 5-17,2008,14,1
Age 5-17,2008,15A,1
Age 5-17,2008,15B,1
Age 5-17,2008,15C,2
Age 5-17,2008,16F,2
Age 5-17,2008,17F,2
Age 5-17,2008,18C,1
Age 5-17,2008,19A,20
Age 5-17,2008,19F,1
Age 5-17,2008,20,1
Age 5-17,2008,21,1
Age 5-17,2008,22F,2
Age 5-17,2008,23A,3
Age 5-17,2008,23B,2
Age 5-17,2008,3,4
Age 5-17,2008,33F,2
Age 5-17,2008,34,1
Age 5-17,2008,35B,2
Age 5-17,2008,35F,1
Age 5-17,2008,38,1
Age 5-17,2008,5,1
Age 5-17,2008,6A,1
Age 5-17,2008,6C,5
Age 5-17,2008,7F,41
Age 5-17,2008,8,1
Age 5-17,2008,9N,3
Age 5-17,2008,9V,1
Age 5-17,2008,MISS,15
Age 18-49,2008,1,22
Age 18-49,2008,10A,16
Age 18-49,2008,11A,19
Age 18-49,2008,12F,47
Age 18-49,2008,13,2
Age 18-49,2008,14,4
Age 18-49,2008,15A,23
Age 18-49,2008,15B,3
Age 18-49,2008,15C,7
Age 18-49,2008,15F,1
Age 18-49,2008,16F,22
Age 18-49,2008,17F,17
Age 18-49,2008,18C,4
Age 18-49,2008,19A,157
Age 18-49,2008,19F,4
Age 18-49,2008,20,16
Age 18-49,2008,21,2
Age 18-49,2008,22F,55
Age 18-49,2008,23A,23
Age 18-49,2008,23B,15
Age 18-49,2008,23F,4
Age 18-49,2008,24F,1
Age 18-49,2008,3,65
Age 18-49,2008,31,15
Age 18-49,2008,33,1
Age 18-49,2008,33F,25
Age 18-49,2008,34,1
Age 18-49,2008,35B,16
Age 18-49,2008,35F,10
Age 18-49,2008,37,2
Age 18-49,2008,38,14
Age 18-49,2008,4,26
Age 18-49,2008,47F,1
Age 18-49,2008,5,2
Age 18-49,2008,6A,15
Age 18-49,2008,6B,9
Age 18-49,2008,6C,24
Age 18-49,2008,7C,13
Age 18-49,2008,7F,216
Age 18-49,2008,8,30
Age 18-49,2008,9N,23
Age 18-49,2008,9V,10
Age 18-49,2008,MISS,151
Age 18-49,2008,NT,7
Age 50-64,2008,1,12
Age 50-64,2008,10A,13
Age 50-64,2008,11A,29
Age 50-64,2008,12F,25
Age 50-64,2008,13,5
Age 50-64,2008,14,4
Age 50-64,2008,15A,23
Age 50-64,2008,15B,6
Age 50-64,2008,15C,11
Age 50-64,2008,16F,26
Age 50-64,2008,17F,14
Age 50-64,2008,18C,4
Age 50-64,2008,18F,1
Age 50-64,2008,19A,169
Age 50-64,2008,19F,7
Age 50-64,2008,20,11
Age 50-64,2008,21,1
Age 50-64,2008,22F,72
Age 50-64,2008,23A,31
Age 50-64,2008,23B,15
Age 50-64,2008,23F,7
Age 50-64,2008,28,1
Age 50-64,2008,28A,1
Age 50-64,2008,3,85
Age 50-64,2008,31,19
Age 50-64,2008,33A,1
Age 50-64,2008,33F,34
Age 50-64,2008,34,4
Age 50-64,2008,35A,1
Age 50-64,2008,35B,11
Age 50-64,2008,35F,15
Age 50-64,2008,38,14
Age 50-64,2008,4,20
Age 50-64,2008,5,2
Age 50-64,2008,6A,15
Age 50-64,2008,6B,6
Age 50-64,2008,6C,33
Age 50-64,2008,7C,7
Age 50-64,2008,7F,154
Age 50-64,2008,8,31
Age 50-64,2008,9N,36
Age 50-64,2008,9V,8
Age 50-64,2008,MISS,144
Age 50-64,2008,NT,6
Age 65+,2008,1,10
Age 65+,2008,10A,11
Age 65+,2008,11A,30
Age 65+,2008,12F,14
Age 65+,2008,13,1
Age 65+,2008,14,9
Age 65+,2008,15A,44
Age 65+,2008,15B,14
Age 65+,2008,15C,6
Age 65+,2008,16F,39
Age 65+,2008,17F,13
Age 65+,2008,18C,4
Age 65+,2008,18F,1
Age 65+,2008,19A,163
Age 65+,2008,19F,12
Age 65+,2008,20,7
Age 65+,2008,21,2
Age 65+,2008,22F,109
Age 65+,2008,23A,52
Age 65+,2008,23B,12
Age 65+,2008,23F,8
Age 65+,2008,25,1
Age 65+,2008,28A,1
Age 65+,2008,3,118
Age 65+,2008,31,29
Age 65+,2008,33F,49
Age 65+,2008,34,7
Age 65+,2008,35B,51
Age 65+,2008,35F,10
Age 65+,2008,37,1
Age 65+,2008,38,25
Age 65+,2008,4,10
Age 65+,2008,43,1
Age 65+,2008,5,1
Age 65+,2008,6A,34
Age 65+,2008,6B,13
Age 65+,2008,6C,81
Age 65+,2008,7C,15
Age 65+,2008,7F,138
Age 65+,2008,8,15
Age 65+,2008,9N,25
Age 65+,2008,9V,12
Age 65+,2008,MISS,146
Age 65+,2008,NT,2
Age <2,2009,1,1
Age <2,2009,10A,8
Age <2,2009,11A,4
Age <2,2009,12F,5
Age <2,2009,13,1
Age <2,2009,15A,3
Age <2,2009,15B,3
Age <2,2009,15C,5
Age <2,2009,16F,4
Age <2,2009,17F,3
Age <2,2009,19A,118
Age <2,2009,19F,1
Age <2,2009,21,2
Age <2,2009,22F,12
Age <2,2009,23B,3
Age <2,2009,23F,1
Age <2,2009,3,9
Age <2,2009,33F,22
Age <2,2009,34,1
Age <2,2009,35B,6
Age <2,2009,35F,2
Age <2,2009,38,9
Age <2,2009,4,1
Age <2,2009,5,2
Age <2,2009,6C,6
Age <2,2009,7F,42
Age <2,2009,8,4
Age <2,2009,9N,2
Age <2,2009,MISS,28
Age 2-4,2009,1,6
Age 2-4,2009,11A,1
Age 2-4,2009,12F,2
Age 2-4,2009,13,1
Age 2-4,2009,15A,2
Age 2-4,2009,15B,1
Age 2-4,2009,15C,4
Age 2-4,2009,16F,3
Age 2-4,2009,17F,1
Age 2-4,2009,19A,72
Age 2-4,2009,19F,2
Age 2-4,2009,21,1
Age 2-4,2009,22F,11
Age 2-4,2009,23A,1
Age 2-4,2009,23B,4
Age 2-4,2009,3,5
Age 2-4,2009,33F,3
Age 2-4,2009,35B,2
Age 2-4,2009,38,4
Age 2-4,2009,6C,4
Age 2-4,2009,7F,29
Age 2-4,2009,9N,2
Age 2-4,2009,9V,2
Age 2-4,2009,MISS,25
Age 5-17,2009,1,13
Age 5-17,2009,10A,2
Age 5-17,2009,11A,2
Age 5-17,2009,12F,1
Age 5-17,2009,14,2
Age 5-17,2009,15A,1
Age 5-17,2009,15B,2
Age 5-17,2009,16F,1
Age 5-17,2009,17F,1
Age 5-17,2009,18C,3
Age 5-17,2009,19A,22
Age 5-17,2009,19F,1
Age 5-17,2009,20,1
Age 5-17,2009,21,1
Age 5-17,2009,22F,1
Age 5-17,2009,23A,4
Age 5-17,2009,23B,4
Age 5-17,2009,3,7
Age 5-17,2009,31,3
Age 5-17,2009,33F,6
Age 5-17,2009,35B,2
Age 5-17,2009,35F,2
Age 5-17,2009,38,1
Age 5-17,2009,5,1
Age 5-17,2009,6A,2
Age 5-17,2009,6C,7
Age 5-17,2009,7C,3
Age 5-17,2009,7F,54
Age 5-17,2009,8,4
Age 5-17,2009,9N,1
Age 5-17,2009,MISS,21
Age 18-49,2009,1,11
Age 18-49,2009,10A,14
Age 18-49,2009,10F,1
Age 18-49,2009,11A,21
Age 18-49,2009,12F,24
Age 18-49,2009,13,2
Age 18-49,2009,14,2
Age 18-49,2009,15A,29
Age 18-49,2009,15B,7
Age 18-49,2009,15C,6
Age 18-49,2009,16F,33
Age 18-49,2009,17F,5
Age 18-49,2009,18C,1
Age 18-49,2009,18F,1
Age 18-49,2009,19A,154
Age 18-49,2009,19F,6
Age 18-49,2009,20,9
Age 18-49,2009,22F,56
Age 18-49,2009,23A,24
Age 18-49,2009,23B,11
Age 18-49,2009,23F,3
Age 18-49,2009,24F,1
Age 18-49,2009,27,1
Age 18-49,2009,3,63
Age 18-49,2009,31,10
Age 18-49,2009,33F,24
Age 18-49,2009,34,5
Age 18-49,2009,35B,18
Age 18-49,2009,35F,6
Age 18-49,2009,37,3
Age 18-49,2009,38,7
Age 18-49,2009,4,13
Age 18-49,2009,6A,9
Age 18-49,2009,6B,1
Age 18-49,2009,6C,31
Age 18-49,2009,7C,11
Age 18-49,2009,7F,242
Age 18-49,2009,8,34
Age 18-49,2009,9N,34
Age 18-49,2009,9V,11
Age 18-49,2009,MISS,95
Age 18-49,2009,NT,6
Age 50-64,2009,1,7
Age 50-64,2009,10A,14
Age 50-64,2009,11A,23
Age 50-64,2009,12F,21
Age 50-64,2009,13,1
Age 50-64,2009,14,6
Age 50-64,2009,15A,32
Age 50-64,2009,15B,11
Age 50-64,2009,15C,11
Age 50-64,2009,16F,30
Age 50-64,2009,17F,19
Age 50-64,2009,18C,2
Age 50-64,2009,19A,158
Age 50-64,2009,19F,7
Age 50-64,2009,20,11
Age 50-64,2009,22F,80
Age 50-64,2009,23A,21
Age 50-64,2009,23B,19
Age 50-64,2009,23F,3
Age 50-64,2009,28A,3
Age 50-64,2009,3,94
Age 50-64,2009,31,16
Age 50-64,2009,33F,26
Age 50-64,2009,34,3
Age 50-64,2009,35B,21
Age 50-64,2009,35F,9
Age 50-64,2009,38,4
Age 50-64,2009,4,18
Age 50-64,2009,6A,22
Age 50-64,2009,6B,9
Age 50-64,2009,6C,50
Age 50-64,2009,7C,9
Age 50-64,2009,7F,186
Age 50-64,2009,8,20
Age 50-64,2009,9N,39
Age 50-64,2009,9V,6
Age 50-64,2009,MISS,123
Age 50-64,2009,NT,4
Age 65+,2009,1,7
Age 65+,2009,10A,17
Age 65+,2009,11A,36
Age 65+,2009,12F,21
Age 65+,2009,13,2
Age 65+,2009,14,5
Age 65+,2009,15A,41
Age 65+,2009,15B,16
Age 65+,2009,15C,10
Age 65+,2009,16F,39
Age 65+,2009,17F,10
Age 65+,2009,18B,1
Age 65+,2009,18C,1
Age 65+,2009,19A,173
Age 65+,2009,19F,13
Age 65+,2009,20,12
Age 65+,2009,21,2
Age 65+,2009,22F,91
Age 65+,2009,23A,63
Age 65+,2009,23B,21
Age 65+,2009,23F,3
Age 65+,2009,24F,1
Age 65+,2009,3,136
Age 65+,2009,31,26
Age 65+,2009,33F,38
Age 65+,2009,34,8
Age 65+,2009,35B,29
Age 65+,2009,35F,10
Age 65+,2009,37,3
Age 65+,2009,38,15
Age 65+,2009,4,4
Age 65+,2009,6A,31
Age 65+,2009,6B,4
Age 65+,2009,6C,80
Age 65+,2009,7A,1
Age 65+,2009,7C,11
Age 65+,2009,7F,141
Age 65+,2009,8,22
Age 65+,2009,9N,23
Age 65+,2009,9V,5
Age 65+,2009,MISS,143
Age 65+,2009,NT,6
Age <2,2010,10A,3
Age <2,2010,11A,4
Age <2,2010,12F,7
Age <2,2010,15A,4
Age <2,2010,15B,7
Age <2,2010,15C,5
Age <2,2010,16F,2
Age <2,2010,18C,1
Age <2,2010,19A,96
Age <2,2010,19F,1
Age <2,2010,21,3
Age <2,2010,22F,12
Age <2,2010,23A,4
Age <2,2010,23B,2
Age <2,2010,23F,1
Age <2,2010,3,10
Age <2,2010,33F,12
Age <2,2010,34,1
Age <2,2010,35B,4
Age <2,2010,35F,2
Age <2,2010,38,4
Age <2,2010,6A,1
Age <2,2010,6B,1
Age <2,2010,6C,4
Age <2,2010,7C,2
Age <2,2010,7F,31
Age <2,2010,8,2
Age <2,2010,9N,2
Age <2,2010,MISS,23
Age <2,2010,NT,3
Age 2-4,2010,10A,4
Age 2-4,2010,11A,1
Age 2-4,2010,15A,2
Age 2-4,2010,15B,4
Age 2-4,2010,15C,7
Age 2-4,2010,16F,3
Age 2-4,2010,17F,1
Age 2-4,2010,19A,55
Age 2-4,2010,19F,1
Age 2-4,2010,20,2
Age 2-4,2010,21,1
Age 2-4,2010,22F,12
Age 2-4,2010,23A,2
Age 2-4,2010,23B,3
Age 2-4,2010,3,11
Age 2-4,2010,33F,1
Age 2-4,2010,35F,2
Age 2-4,2010,38,3
Age 2-4,2010,6C,4
Age 2-4,2010,7F,30
Age 2-4,2010,MISS,21
Age 2-4,2010,NT,2
Age 5-17,2010,1,9
Age 5-17,2010,10A,2
Age 5-17,2010,12F,2
Age 5-17,2010,15B,4
Age 5-17,2010,15C,1
Age 5-17,2010,16F,1
Age 5-17,2010,17F,1
Age 5-17,2010,19A,17
Age 5-17,2010,21,1
Age 5-17,2010,22F,8
Age 5-17,2010,23B,2
Age 5-17,2010,3,5
Age 5-17,2010,31,2
Age 5-17,2010,33F,2
Age 5-17,2010,34,3
Age 5-17,2010,35B,4
Age 5-17,2010,38,1
Age 5-17,2010,4,1
Age 5-17,2010,6A,1
Age 5-17,2010,6C,3
Age 5-17,2010,7C,1
Age 5-17,2010,7F,31
Age 5-17,2010,8,2
Age 5-17,2010,9V,1
Age 5-17,2010,MISS,5
Age 18-49,2010,1,12
Age 18-49,2010,10A,11
Age 18-49,2010,10F,1
Age 18-49,2010,11A,19
Age 18-49,2010,12F,36
Age 18-49,2010,14,2
Age 18-49,2010,15A,15
Age 18-49,2010,15B,5
Age 18-49,2010,15C,6
Age 18-49,2010,16F,15
Age 18-49,2010,17F,10
Age 18-49,2010,18B,1
Age 18-49,2010,18C,1
Age 18-49,2010,19A,142
Age 18-49,2010,19F,5
Age 18-49,2010,20,8
Age 18-49,2010,21,2
Age 18-49,2010,22F,67
Age 18-49,2010,23A,27
Age 18-49,2010,23B,8
Age 18-49,2010,23F,2
Age 18-49,2010,3,48
Age 18-49,2010,31,9
Age 18-49,2010,33F,20
Age 18-49,2010,34,8
Age 18-49,2010,35B,10
Age 18-49,2010,35F,4
Age 18-49,2010,37,2
Age 18-49,2010,38,10
Age 18-49,2010,4,18
Age 18-49,2010,5,1
Age 18-49,2010,6A,4
Age 18-49,2010,6B,2
Age 18-49,2010,6C,41
Age 18-49,2010,7C,4
Age 18-49,2010,7F,198
Age 18-49,2010,8,26
Age 18-49,2010,9N,41
Age 18-49,2010,9V,6
Age 18-49,2010,MISS,84
Age 18-49,2010,NT,2
Age 50-64,2010,1,6
Age 50-64,2010,10A,18
Age 50-64,2010,11A,24
Age 50-64,2010,12F,35
Age 50-64,2010,13,4
Age 50-64,2010,14,2
Age 50-64,2010,15A,28
Age 50-64,2010,15B,10
Age 50-64,2010,15C,5
Age 50-64,2010,16F,25
Age 50-64,2010,17F,9
Age 50-64,2010,18C,2
Age 50-64,2010,18F,1
Age 50-64,2010,19A,149
Age 50-64,2010,19F,10
Age 50-64,2010,20,14
Age 50-64,2010,21,1
Age 50-64,2010,22F,68
Age 50-64,2010,23A,32
Age 50-64,2010,23B,21
Age 50-64,2010,28A,3
Age 50-64,2010,3,88
Age 50-64,2010,31,14
Age 50-64,2010,33F,25
Age 50-64,2010,34,4
Age 50-64,2010,35B,14
Age 50-64,2010,35F,9
Age 50-64,2010,38,5
Age 50-64,2010,4,12
Age 50-64,2010,5,3
Age 50-64,2010,6A,11
Age 50-64,2010,6B,2
Age 50-64,2010,6C,39
Age 50-64,2010,6D,1
Age 50-64,2010,7C,9
Age 50-64,2010,7F,174
Age 50-64,2010,8,27
Age 50-64,2010,9N,36
Age 50-64,2010,9V,9
Age 50-64,2010,MISS,100
Age 50-64,2010,NT,10
Age 65+,2010,1,7
Age 65+,2010,10A,10
Age 65+,2010,11A,38
Age 65+,2010,12F,13
Age 65+,2010,13,5
Age 65+,2010,14,4
Age 65+,2010,15A,31
Age 65+,2010,15B,8
Age 65+,2010,15C,7
Age 65+,2010,16F,33
Age 65+,2010,17F,15
Age 65+,2010,18C,2
Age 65+,2010,19A,141
Age 65+,2010,19F,11
Age 65+,2010,20,15
Age 65+,2010,21,2
Age 65+,2010,22F,115
Age 65+,2010,23A,50
Age 65+,2010,23B,12
Age 65+,2010,24F,1
Age 65+,2010,3,133
Age 65+,2010,31,26
Age 65+,2010,33F,29
Age 65+,2010,34,6
Age 65+,2010,35B,39
Age 65+,2010,35F,11
Age 65+,2010,37,1
Age 65+,2010,38,26
Age 65+,2010,4,5
Age 65+,2010,6A,22
Age 65+,2010,6B,2
Age 65+,2010,6C,108
Age 65+,2010,7C,21
Age 65+,2010,7F,127
Age 65+,2010,8,19
Age 65+,2010,9N,48
Age 65+,2010,9V,3
Age 65+,2010,MISS,134
Age 65+,2010,NT,11
Age <2,2011,10A,3
Age <2,2011,11A,2
Age <2,2011,12F,4
Age <2,2011,14,2
Age <2,2011,15A,6
Age <2,2011,15B,5
Age <2,2011,15C,8
Age <2,2011,16F,1
Age <2,2011,17F,2
Age <2,2011,19A,24
Age <2,2011,19F,3
Age <2,2011,20,2
Age <2,2011,22F,24
Age <2,2011,23A,1
Age <2,2011,23B,4
Age <2,2011,3,7
Age <2,2011,31,1
Age <2,2011,33F,18
Age <2,2011,35B,7
Age <2,2011,38,6
Age <2,2011,6C,5
Age <2,2011,7C,2
Age <2,2011,7F,3
Age <2,2011,8,4
Age <2,2011,9N,5
Age <2,2011,MISS,8
Age <2,2011,NT,1
Age 2-4,2011,10A,1
Age 2-4,2011,11A,1
Age 2-4,2011,12F,4
Age 2-4,2011,15A,3
Age 2-4,2011,15B,2
Age 2-4,2011,15C,3
Age 2-4,2011,17F,2
Age 2-4,2011,19A,22
Age 2-4,2011,19F,1
Age 2-4,2011,22F,7
Age 2-4,2011,23A,4
Age 2-4,2011,23B,2
Age 2-4,2011,3,7
Age 2-4,2011,31,1
Age 2-4,2011,33F,6
Age 2-4,2011,34,1
Age 2-4,2011,35B,4
Age 2-4,2011,35F,2
Age 2-4,2011,38,4
Age 2-4,2011,6C,3
Age 2-4,2011,7F,10
Age 2-4,2011,9N,1
Age 2-4,2011,MISS,15
Age 2-4,2011,NT,1
Age 5-17,2011,10A,1
Age 5-17,2011,12F,5
Age 5-17,2011,15A,2
Age 5-17,2011,15C,3
Age 5-17,2011,16F,2
Age 5-17,2011,19A,21
Age 5-17,2011,19F,2
Age 5-17,2011,20,1
Age 5-17,2011,21,2
Age 5-17,2011,22F,6
Age 5-17,2011,23A,1
Age 5-17,2011,23B,7
Age 5-17,2011,3,5
Age 5-17,2011,33F,2
Age 5-17,2011,34,2
Age 5-17,2011,35B,3
Age 5-17,2011,37,1
Age 5-17,2011,6C,4
Age 5-17,2011,7F,23
Age 5-17,2011,8,3
Age 5-17,2011,MISS,6
Age 18-49,2011,1,4
Age 18-49,2011,10A,12
Age 18-49,2011,11A,18
Age 18-49,2011,12F,37
Age 18-49,2011,13,2
Age 18-49,2011,14,1
Age 18-49,2011,15A,21
Age 18-49,2011,15B,11
Age 18-49,2011,15C,6
Age 18-49,2011,16F,11
Age 18-49,2011,17F,13
Age 18-49,2011,18A,1
Age 18-49,2011,19A,111
Age 18-49,2011,19F,7
Age 18-49,2011,20,12
Age 18-49,2011,21,3
Age 18-49,2011,22F,64
Age 18-49,2011,23A,22
Age 18-49,2011,23B,5
Age 18-49,2011,23F,1
Age 18-49,2011,24F,2
Age 18-49,2011,28A,1
Age 18-49,2011,3,39
Age 18-49,2011,31,7
Age 18-49,2011,33F,11
Age 18-49,2011,34,8
Age 18-49,2011,35A,1
Age 18-49,2011,35B,18
Age 18-49,2011,35F,7
Age 18-49,2011,38,3
Age 18-49,2011,4,6
Age 18-49,2011,6A,1
Age 18-49,2011,6B,1
Age 18-49,2011,6C,28
Age 18-49,2011,6D,1
Age 18-49,2011,7C,5
Age 18-49,2011,7F,139
Age 18-49,2011,8,34
Age 18-49,2011,9N,31
Age 18-49,2011,9V,6
Age 18-49,2011,MISS,71
Age 18-49,2011,NT,8
Age 50-64,2011,1,2
Age 50-64,2011,10A,11
Age 50-64,2011,10F,1
Age 50-64,2011,11A,34
Age 50-64,2011,12F,44
Age 50-64,2011,13,3
Age 50-64,2011,14,3
Age 50-64,2011,15A,26
Age 50-64,2011,15B,14
Age 50-64,2011,15C,14
Age 50-64,2011,16F,32
Age 50-64,2011,17F,13
Age 50-64,2011,18A,1
Age 50-64,2011,19A,131
Age 50-64,2011,19F,7
Age 50-64,2011,20,15
Age 50-64,2011,21,2
Age 50-64,2011,22F,71
Age 50-64,2011,23A,42
Age 50-64,2011,23B,14
Age 50-64,2011,23F,3
Age 50-64,2011,28A,1
Age 50-64,2011,3,98
Age 50-64,2011,31,21
Age 50-64,2011,33F,42
Age 50-64,2011,34,10
Age 50-64,2011,35B,22
Age 50-64,2011,35F,5
Age 50-64,2011,37,1
Age 50-64,2011,38,10
